"Тип записи";"0_Код";"0_Признак закрытого ЛПУ";"0_Причина закрытия";"0_Дата закрытия";"0_Дата повторного открытия после закрытия";"0_Полное наименование согласно документам";"1_Название";"1_Краткое наименование";"1_Административный округ по территориальной принадлежности";"1_Ведомственность";"1_Главное ЛПУ";"1_Адрес  гл организации";"1_Адресная строка";"1_Индекс";"1_Область";"""1_слово """"Область""""""";"1_Район";"""1_слово """"Район""""""";"1_тип населенного пункта";"1_Населенный пункт";"1_Название улицы";"1_Тип улицы";"1_Дом";"""1_""""буква"""" дома""";"1_корпус";"1_строение";"0_Идентификатор в адресном реестре";"1_код общего телефона";"1_факс";"1_Дополнительная информация";"1_Тип аптеки";"1_специализация";"1_Льготное лекарственное обеспечение";"1_Обеспечение рецептов";"0_GUID";"1_Руководитель";"0_Пол руководителя";"1_Должность руководителя";"1_телефон руководителя";"1_Дни, по которым выполняется данное расписание";"1_Часы работы";"1_Дни, по которым выполняется данное расписание";"1_выходные дни";"1_платные услуги";"1_бесплатные услуги";"1_Коечный фонд";"1_Отделения";"1_Койкофонд";"1_Смены заездов в санатории";"1_Койкофонд";"1_Уровень стационара"
"TYPE";"ID";"PRIZNAK_CLOSE";"Prichina_CLOSE";"DATA_CLOSE";"DATA_REOPEN";"FULL_NAME";"NAME";"SHORT_NAME";"OKRUG";"VEDOM";"GLAVNOE_LPU";"ADRES_GLAV";"ADRES_STR";"ADRES_INDEX";"ADRES_OBL";"OBL";"ADRES_RAJON";"RAJON";"NASELEN_PUNKT";"ADRES_NASELENPUNKT";"ADRES_UL_NAME";"ADRES_UL_TYPE";"ADRES_DOM";"ADRES_DOM_litera";"ADRES_KORPUS";"ADRES_STROENIE";"UNOM";"TEL_NOMER";"FAX_NOMER";"INFO";"DRUGSTORE_TYPE";"SPECIAL";"LEK_OBESP";"RECEPT";"GLOBALID";"RUKOVODIT";"R_POL";"DOLZH";"R_TEL_NOMER";"DNY_RABOTY1";"CHAS_RABOTY";"DNY_NE_RABOT";"VYHODNOJ_TYPE";"PLAT_USLUGI";"BESPL_USLUGI";"KOIKI";"OTDELENIE";"KOJKA";"SMENA";"KOIKA";"LVL"
"Аптеки_коммерческие";;;;;;;"ООО ""НЕО-ФАРМ""";;;;"ООО ""НЕО-ФАРМ""";;"127299, г. Москва, ул. Космонавта Волкова, д. 25/2";127299;"Москва";"область";;;"Город";"Москва";"Космонавта Волкова";"улица";"25/2";;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""НЕО-ФАРМ""";;;;"ООО ""НЕО-ФАРМ""";;"111141, г. Москва, Зеленый проспект, д.8";111141;"Москва";"область";;;"Город";"Москва";"Зеленый";"проспект";8;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""НЕО-ФАРМ""";;;;"ООО ""НЕО-ФАРМ""";;"121596, г. Москва, ул. Толбухина, д. 12, корп. 1";121596;"Москва";"область";;;"Город";"Москва";"Толбухина";"улица";12;;1;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"Общество с ограниченной ответственностью ""Фарм-Регион М""";;;;"Общество с ограниченной ответственностью ""Фарм-Регион М""";;"125222, г. Москва, ул. Дубравная, д. 40";125222;"Москва";"область";;;"Город";"Москва";"Дубравная";"улица";40;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"Общество с ограниченной ответственностью ""Фарм-Регион М""";;;;"Общество с ограниченной ответственностью ""Фарм-Регион М""";;"125363, г. Москва, ул. Героев-Панфиловцев, д. 4";125363;"Москва";"область";;;"Город";"Москва";"Героев-Панфиловцев";"улица";4;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""ФАРМ-ОСНОВА""";;;;"ООО ""ФАРМ-ОСНОВА""";;"117452, г. Москва, ул. Азовская, д. 24, корп. 2";117452;"Москва";"область";;;"Город";"Москва";"Азовская";"улица";24;;2;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""ФАРМ-ОСНОВА""";;;;"ООО ""ФАРМ-ОСНОВА""";;"109548, г. Москва, ул. Гурьянова, д. 3";109548;"Москва";"область";;;"Город";"Москва";"Гурьянова";"улица";3;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""ФАРМАТЕРРА+""";;;;"ООО ""ФАРМАТЕРРА+""";;"109428, г. Москва, Волжский бульвар, д. 54, стр. 6";109428;"Москва";"область";;;"Город";"Москва";"Волжский";"бульвар";54;;;6;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"Общество с ограниченной ответственностью ""Градествите""";;;;"Общество с ограниченной ответственностью ""Градествите""";;"142167, г. Москва, поселение Роговское, пос. Рогово, д. 2 А";142167;"Москва";"область";;;"посёлок";"Рогово";;;2;"А";;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
"Аптеки_коммерческие";;;;;;;"ООО ""Желаем Здоровья""";;;;"ООО ""Желаем Здоровья""";;"115419, г. Москва, ул. Донская, д. 31";115419;"Москва";"область";;;"Город";"Москва";"Донская";"улица";31;;;;;;;;"Аптека готовых лекарственных форм";;;;;;;;;;;;;;;;;;;;
