"Уникальный код улицы";"Наименование улицы для поиска, сортировки";"Действующее на данный момент наименование улицы для документов";"Действующее наименование для документов, приведенное к написанию наименования по ОМК УМ, но с сокращениями географических терминов";"Короткое наименование улицы МосгорБТИ";"Наименование  улицы по ОМК УМ";"Код состояния наименования";"Признак действующего наименования (1 — да, 0 — нет)";"Территориальная принадлежность улицы (коды районов)";"Примечание";"Код документа, на основании которого произведен ввод наименования";"Номер документа, на основании которого произведен ввод наименования";"Дата документа, на основании которого произведен ввод наименования";"Стандартизованная дата документа, на основании которого произведен ввод наименования";"Код «родителей» (ретроспектива)";"Код «потомков» (перспектива)";"Код улицы как физического объекта";"Дата ввода в Базу данных";"Основное наименование (без типа топонима)";"Код типа топонима";"Признак принадлежности к ОМК УМ";"Признак удаления";"Состояние наименования  улицы";"Документ, на основании которого произведен ввод наименования";"Наименование типа топонима";"Состояние подписи";
"1443";"Дубнинская ул.";"Дубнинская ул.";"Дубнинская ул.";"Дубнинская ул.";"Дубнинская улица";"1";"1";"905,911,915";"";"3";"";"03.12.1966";"03.12.1966 00:00:00";"";"";"6770";"01.11.1980 00:00:00";"Дубнинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1457";"Дунаевского ул.";"Дунаевского ул.";"ул. Дунаевского";"Дунаевского ул.";"улица Дунаевского";"1";"1";"703";"";"3";"";"11.08.1962";"11.08.1962 00:00:00";"";"";"6870";"01.11.1980 00:00:00";"Дунаевского";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"1459";"Дюссельдорфский парк";"";"Дюссельдорфский парк";"Дюссельдорфский парк";"Дюссельдорфский парк";"1";"1";"411";"";"1";"№ 17-ПП";"20.01.2009";"20.01.2009 00:00:00";"";"";"61459";"27.01.2009 00:00:00";"Дюссельдорфский";"19";"1";"0";"действующее наи";"Пост-ие Прав-ва";"парк";"Запись не подписана";
"1472";"Димитрова ул.";"Димитрова ул.";"ул. Димитрова";"Димитрова ул.";"улица Димитрова";"2";"0";"117";"";"3";"";"15.06.1957";"15.06.1957 00:00:00";"";"7825";"6150";"28.03.1995 00:00:00";"Димитрова";"1";"0";"0";"прежнее наимено";"архивные данные";"ул.";"Запись не подписана";
"1486";"Деповский пр.";"Деповский пр.";"Деповский пр.";"Деповский пр.";"Деповский проезд";"5";"1";"";"";"9";"";"";"";"";"";"61486";"";"Деповский";"3";"0";"0";"существующее, н";"нет данных";"пр.";"Запись не подписана";
"1516";"Дворцовый 2-й пр.";"Дворцовый 2-й пр.";"Дворцовый 2-й пр.";"Дворцовый 2-й пр.";"";"9";"0";"";"";"9";"";"";"";"";"";"61516";"";"Дворцовый 2-й";"3";"0";"1";"упраздненное на";"нет данных";"пр.";"Запись не подписана";
"1531";"Дубровский 5-й пер.";"Дубровский 5-й пер.";"Дубровский 5-й пер.";"Дубровский 5-й пер.";"";"9";"0";"";"";"9";"";"";"";"";"";"61531";"";"Дубровский 5-й";"2";"0";"1";"упраздненное на";"нет данных";"пер.";"Запись не подписана";
"1534";"Дыховский туп.";"Дыховский туп.";"Дыховский туп.";"Дыховский туп.";"";"9";"0";"";"";"9";"";"";"";"";"";"61534";"";"Дыховский";"7";"0";"1";"упраздненное на";"нет данных";"туп.";"Запись не подписана";
"1588";"Елагинский просп.";"Елагинский просп.";"Елагинский просп.";"Елагинский просп.";"Елагинский проспект";"1";"1";"313";"";"9";"";"";"";"";"";"7120";"31.01.1995 00:00:00";"Елагинский";"10";"1";"0";"действующее наи";"нет данных";"просп.";"Запись не подписана";
"1609";"Екатерининская Б. ул.";"Екатерининская Б. ул.";"Большая Екатерининская ул.";"Екатерининская Б. ул.";"Большая Екатерининская улица";"1";"1";"107";"";"9";"";"";"";"";"";"7105";"18.10.2000 00:00:00";"Большая Екатерининская";"1";"1";"0";"действующее наи";"нет данных";"ул.";"Запись не подписана";
